, Município , Confirmados , Novos Confirmados , Incidência /100 mil hab , Óbitos , Novos Óbitos , Mortalidade /100 mil hab
, Ciríaco , 5 , 2 , 105.3 , 0 , 0 , 0
, Coqueiros do Sul , 5 , 0 , 216.8 , 1 , 0 , 43.4
, Erebango , 5 , 0 , 167.2 , 0 , 0 , 0
, Vila Lângaro , 5 , 1 , 239.1 , 0 , 0 , 0
, Muliterno , 5 , 0 , 264.1 , 0 , 0 , 0
, Redentora , 5 , 0 , 43.3 , 0 , 0 , 0
, Três Arroios , 5 , 1 , 187.4 , 0 , 0 , 0
, Jacutinga , 5 , 0 , 140.4 , 0 , 0 , 0
, Bom Progresso , 5 , 0 , 257.5 , 0 , 0 , 0
, Viadutos , 5 , 0 , 105.1 , 1 , 0 , 21.0
, Itati , 5 , 0 , 206.7 , 0 , 0 , 0
, Protásio Alves , 5 , 4 , 256.8 , 0 , 0 , 0
, Três de Maio , 5 , 0 , 20.9 , 0 , 0 , 0
, São Martinho da Serra , 5 , 0 , 154.6 , 0 , 0 , 0
, Quevedos , 5 , 2 , 179.3 , 0 , 0 , 0
, Capão do Leão , 4 , 0 , 15.8 , 0 , 0 , 0
, Três Forquilhas , 4 , 0 , 148.3 , 0 , 0 , 0
, Tio Hugo , 4 , 0 , 132.0 , 1 , 0 , 33.0
, Sério , 4 , 0 , 203.9 , 0 , 0 , 0
, Victor Graeff , 4 , 0 , 138.8 , 0 , 0 , 0
, Ernestina , 4 , 0 , 126.3 , 0 , 0 , 0
, Coronel Bicaco , 4 , 0 , 54.6 , 0 , 0 , 0
, Canudos do Vale , 4 , 0 , 233.1 , 0 , 0 , 0
, Vanini , 4 , 1 , 189.3 , 0 , 0 , 0
, Mariana Pimentel , 4 , 0 , 103.0 , 2 , 0 , 51.5
, Pinto Bandeira , 4 , 0 , 133.2 , 1 , 0 , 33.3
, Campo Novo , 4 , 0 , 89.2 , 0 , 0 , 0
, Vera Cruz , 4 , 0 , 14.9 , 0 , 0 , 0
, Colorado , 4 , 0 , 126.0 , 0 , 0 , 0
, Maximiliano de Almeida , 4 , 0 , 91.4 , 0 , 0 , 0
, Barracão , 4 , 1 , 75.8 , 0 , 0 , 0
, Palmares do Sul , 4 , 0 , 35.3 , 0 , 0 , 0
, Roque Gonzales , 4 , 1 , 58.4 , 0 , 0 , 0
, São Francisco de Assis , 4 , 0 , 21.8 , 1 , 0 , 5.5
, Alto Feliz , 4 , 0 , 132.1 , 0 , 0 , 0
, Vista Gaúcha , 3 , 0 , 105.2 , 0 , 0 , 0
, Candiota , 3 , 0 , 31.3 , 0 , 0 , 0
, Rosário do Sul , 3 , 0 , 7.6 , 0 , 0 , 0
, Santa Bárbara do Sul , 3 , 0 , 37.5 , 0 , 0 , 0
, Salvador do Sul , 3 , 0 , 38.5 , 0 , 0 , 0
, Dom Feliciano , 3 , 0 , 19.5 , 0 , 0 , 0
, Paim Filho , 3 , 0 , 78.4 , 0 , 0 , 0
, Vista Alegre do Prata , 3 , 0 , 192.2 , 0 , 0 , 0
, Mormaço , 3 , 0 , 97.2 , 0 , 0 , 0
, Mato Castelhano , 3 , 0 , 118.1 , 1 , 0 , 39.4
, São Valentim do Sul , 3 , 0 , 133.8 , 0 , 0 , 0
, Pouso Novo , 3 , 0 , 183.0 , 0 , 0 , 0
, São João da Urtiga , 3 , 0 , 64.4 , 0 , 0 , 0
, Cerro Largo , 3 , 0 , 21.2 , 0 , 0 , 0
, Bossoroca , 3 , 0 , 47.8 , 0 , 0 , 0
, Selbach , 3 , 0 , 58.8 , 0 , 0 , 0
, Esmeralda , 3 , 0 , 91.4 , 1 , 0 , 30.5
, Cambará do Sul , 3 , 0 , 46.6 , 0 , 0 , 0
